"","new","c","hc_ward_cut"
"62","A_M1001YM01_2S2RNA 29","308","1"
"63","A_M1001YM01_2S2RNA 3","111","1"
"64","A_M1001YM01_2S2RNA 30","311","2"
"65","A_M1001YM01_2S2RNA 31","311","2"
"66","A_M1001YM01_2S2RNA 32","311","2"
"67","A_M1001YM01_2S2RNA 33","311","2"
"68","A_M1001YM01_2S2RNA 34","311","1"
"69","A_M1001YM01_2S2RNA 35","311","2"
"70","A_M1001YM01_2S2RNA 36","311","2"
"71","A_M1001YM01_2S2RNA 37","311","2"
"72","A_M1001YM01_2S2RNA 38","311","2"
"73","A_M1001YM01_2S2RNA 39","311","2"
"74","A_M1001YM01_2S2RNA 4","103","2"
"75","A_M1001YM01_2S2RNA 5","102","2"
"76","A_M1001YM01_2S2RNA 6","105","2"
"77","A_M1001YM01_2S2RNA 7","105","2"
"78","A_M1001YM01_2S2RNA 8","105","2"
"79","A_M1001YM01_2S2RNA 9","106","2"
"80","A_M1001YM01_3S3RNA 1","111","1"
"81","A_M1001YM01_3S3RNA 10","106","1"
"82","A_M1001YM01_3S3RNA 11","106","1"
"83","A_M1001YM01_3S3RNA 12","202","1"
"84","A_M1001YM01_3S3RNA 13","203","1"
"85","A_M1001YM01_3S3RNA 14","203","1"
"86","A_M1001YM01_3S3RNA 15","203","1"
"87","A_M1001YM01_3S3RNA 16","203","1"
"88","A_M1001YM01_3S3RNA 17","204","1"
"89","A_M1001YM01_3S3RNA 18","205","1"
"90","A_M1001YM01_3S3RNA 19","205","1"
"91","A_M1001YM01_3S3RNA 2","111","1"
"92","A_M1001YM01_3S3RNA 20","205","2"
"93","A_M1001YM01_3S3RNA 21","206","2"
"94","A_M1001YM01_3S3RNA 22","303","2"
"95","A_M1001YM01_3S3RNA 23","304","2"
"96","A_M1001YM01_3S3RNA 24","304","2"
"97","A_M1001YM01_3S3RNA 25","304","2"
"98","A_M1001YM01_3S3RNA 26","305","2"
"99","A_M1001YM01_3S3RNA 27","306","2"
"100","A_M1001YM01_3S3RNA 28","306","1"
"101","A_M1001YM01_3S3RNA 29","307","1"
"102","A_M1001YM01_3S3RNA 3","111","1"
"103","A_M1001YM01_3S3RNA 30","311","2"
"104","A_M1001YM01_3S3RNA 31","311","1"
"105","A_M1001YM01_3S3RNA 32","311","2"
"106","A_M1001YM01_3S3RNA 33","311","1"
"107","A_M1001YM01_3S3RNA 34","311","1"
"108","A_M1001YM01_3S3RNA 35","311","1"
"109","A_M1001YM01_3S3RNA 36","311","2"
"110","A_M1001YM01_3S3RNA 37","311","2"
"111","A_M1001YM01_3S3RNA 38","311","2"
"112","A_M1001YM01_3S3RNA 39","311","2"
"113","A_M1001YM01_3S3RNA 4","102","2"
"114","A_M1001YM01_3S3RNA 5","102","2"
"115","A_M1001YM01_3S3RNA 6","102","2"
"116","A_M1001YM01_3S3RNA 7","103","2"
"117","A_M1001YM01_3S3RNA 8","103","2"
"118","A_M1001YM01_3S3RNA 9","104","2"
"119","A_M1002YM01_1S1RNA 1","102","1"
"120","A_M1002YM01_1S1RNA 10","201","1"
"121","A_M1002YM01_1S1RNA 11","203","1"
"122","A_M1002YM01_1S1RNA 12","203","1"
"123","A_M1002YM01_1S1RNA 13","203","1"
"124","A_M1002YM01_1S1RNA 14","203","1"
"125","A_M1002YM01_1S1RNA 15","204","1"
"126","A_M1002YM01_1S1RNA 16","205","1"
"127","A_M1002YM01_1S1RNA 17","205","1"
"128","A_M1002YM01_1S1RNA 18","205","1"
"129","A_M1002YM01_1S1RNA 19","206","2"
"130","A_M1002YM01_1S1RNA 2","102","2"
"131","A_M1002YM01_1S1RNA 20","303","2"
"132","A_M1002YM01_1S1RNA 21","304","2"
"133","A_M1002YM01_1S1RNA 22","304","2"
"134","A_M1002YM01_1S1RNA 23","304","2"
"135","A_M1002YM01_1S1RNA 24","305","2"
"136","A_M1002YM01_1S1RNA 25","306","2"
"137","A_M1002YM01_1S1RNA 26","306","1"
"138","A_M1002YM01_1S1RNA 27","306","2"
"139","A_M1002YM01_1S1RNA 28","308","1"
"140","A_M1002YM01_1S1RNA 29","308","1"
"141","A_M1002YM01_1S1RNA 3","103","2"
"142","A_M1002YM01_1S1RNA 30","311","1"
"143","A_M1002YM01_1S1RNA 31","311","1"
"144","A_M1002YM01_1S1RNA 32","311","1"
"145","A_M1002YM01_1S1RNA 33","311","1"
"146","A_M1002YM01_1S1RNA 34","311","1"
"147","A_M1002YM01_1S1RNA 35","311","1"
"148","A_M1002YM01_1S1RNA 36","311","2"
"149","A_M1002YM01_1S1RNA 37","311","2"
"150","A_M1002YM01_1S1RNA 38","311","2"
"151","A_M1002YM01_1S1RNA 39","311","2"
"152","A_M1002YM01_1S1RNA 4","103","2"
"153","A_M1002YM01_1S1RNA 5","104","2"
"154","A_M1002YM01_1S1RNA 6","104","2"
"155","A_M1002YM01_1S1RNA 7","105","2"
"156","A_M1002YM01_1S1RNA 8","106","2"
"157","A_M1002YM01_1S1RNA 9","106","2"
"158","A_M1002YM01_2S2RNA 1","111","1"
"159","A_M1002YM01_2S2RNA 10","202","1"
"160","A_M1002YM01_2S2RNA 11","203","1"
"161","A_M1002YM01_2S2RNA 12","203","1"
"162","A_M1002YM01_2S2RNA 13","203","1"
"163","A_M1002YM01_2S2RNA 14","203","1"
"164","A_M1002YM01_2S2RNA 15","205","1"
"165","A_M1002YM01_2S2RNA 16","205","1"
"166","A_M1002YM01_2S2RNA 17","205","1"
"167","A_M1002YM01_2S2RNA 18","205","2"
"168","A_M1002YM01_2S2RNA 19","301","2"
"169","A_M1002YM01_2S2RNA 2","111","2"
"170","A_M1002YM01_2S2RNA 20","304","2"
"171","A_M1002YM01_2S2RNA 21","304","2"
"172","A_M1002YM01_2S2RNA 22","304","2"
"173","A_M1002YM01_2S2RNA 23","304","2"
"174","A_M1002YM01_2S2RNA 24","305","2"
"175","A_M1002YM01_2S2RNA 25","306","2"
"176","A_M1002YM01_2S2RNA 26","306","1"
"177","A_M1002YM01_2S2RNA 27","307","2"
"178","A_M1002YM01_2S2RNA 28","308","1"
"179","A_M1002YM01_2S2RNA 29","308","2"
"180","A_M1002YM01_2S2RNA 3","111","2"
"181","A_M1002YM01_2S2RNA 30","311","1"
"182","A_M1002YM01_2S2RNA 31","311","1"
"183","A_M1002YM01_2S2RNA 32","311","1"
"184","A_M1002YM01_2S2RNA 33","311","1"
"185","A_M1002YM01_2S2RNA 34","311","1"
"186","A_M1002YM01_2S2RNA 35","311","1"
"187","A_M1002YM01_2S2RNA 36","311","2"
"188","A_M1002YM01_2S2RNA 37","311","2"
"189","A_M1002YM01_2S2RNA 38","311","2"
"190","A_M1002YM01_2S2RNA 39","311","2"
"191","A_M1002YM01_2S2RNA 4","102","2"
"192","A_M1002YM01_2S2RNA 5","102","2"
"193","A_M1002YM01_2S2RNA 6","105","2"
"194","A_M1002YM01_2S2RNA 7","105","2"
"195","A_M1002YM01_2S2RNA 8","106","2"
"196","A_M1002YM01_2S2RNA 9","106","2"
"197","A_M1002YM01_3S3RNA 1","111","1"
"198","A_M1002YM01_3S3RNA 10","106","1"
"199","A_M1002YM01_3S3RNA 11","106","1"
"200","A_M1002YM01_3S3RNA 12","106","1"
"201","A_M1002YM01_3S3RNA 13","202","1"
"202","A_M1002YM01_3S3RNA 14","203","1"
"203","A_M1002YM01_3S3RNA 15","203","1"
"204","A_M1002YM01_3S3RNA 16","203","1"
"205","A_M1002YM01_3S3RNA 17","203","1"
"206","A_M1002YM01_3S3RNA 18","205","1"
"207","A_M1002YM01_3S3RNA 19","205","1"
"208","A_M1002YM01_3S3RNA 2","111","1"
"209","A_M1002YM01_3S3RNA 20","205","2"
"210","A_M1002YM01_3S3RNA 21","205","2"
"211","A_M1002YM01_3S3RNA 22","301","2"
"212","A_M1002YM01_3S3RNA 23","304","2"
"213","A_M1002YM01_3S3RNA 24","304","2"
"214","A_M1002YM01_3S3RNA 25","304","2"
"215","A_M1002YM01_3S3RNA 26","304","2"
"216","A_M1002YM01_3S3RNA 27","305","2"
"217","A_M1002YM01_3S3RNA 28","306","1"
"218","A_M1002YM01_3S3RNA 29","306","1"
"219","A_M1002YM01_3S3RNA 3","111","1"
"220","A_M1002YM01_3S3RNA 30","307","2"
"221","A_M1002YM01_3S3RNA 31","307","1"
"222","A_M1002YM01_3S3RNA 32","311","1"
"223","A_M1002YM01_3S3RNA 33","311","1"
"224","A_M1002YM01_3S3RNA 34","311","1"
"225","A_M1002YM01_3S3RNA 35","311","1"
"226","A_M1002YM01_3S3RNA 36","311","1"
"227","A_M1002YM01_3S3RNA 37","311","1"
"228","A_M1002YM01_3S3RNA 38","311","2"
"229","A_M1002YM01_3S3RNA 39","311","2"
"230","A_M1002YM01_3S3RNA 4","105","2"
"231","A_M1002YM01_3S3RNA 40","311","2"
"232","A_M1002YM01_3S3RNA 41","311","2"
"233","A_M1002YM01_3S3RNA 5","102","2"
"234","A_M1002YM01_3S3RNA 6","102","2"
"235","A_M1002YM01_3S3RNA 7","102","2"
"236","A_M1002YM01_3S3RNA 8","103","2"
"237","A_M1002YM01_3S3RNA 9","103","2"
"238","A_M1003YM02_1S2RNA 1","111","1"
"239","A_M1003YM02_1S2RNA 10","106","1"
"240","A_M1003YM02_1S2RNA 11","201","1"
"241","A_M1003YM02_1S2RNA 12","203","1"
"242","A_M1003YM02_1S2RNA 13","203","1"
"243","A_M1003YM02_1S2RNA 14","203","1"
"244","A_M1003YM02_1S2RNA 15","203","1"
"245","A_M1003YM02_1S2RNA 16","204","1"
"246","A_M1003YM02_1S2RNA 17","205","1"
"247","A_M1003YM02_1S2RNA 18","205","1"
"248","A_M1003YM02_1S2RNA 19","205","1"
"249","A_M1003YM02_1S2RNA 2","111","2"
"250","A_M1003YM02_1S2RNA 20","301","2"
"251","A_M1003YM02_1S2RNA 21","304","2"
"252","A_M1003YM02_1S2RNA 22","304","2"
"253","A_M1003YM02_1S2RNA 23","304","2"
"254","A_M1003YM02_1S2RNA 24","304","2"
"255","A_M1003YM02_1S2RNA 25","305","2"
"256","A_M1003YM02_1S2RNA 26","306","2"
"257","A_M1003YM02_1S2RNA 27","306","1"
"258","A_M1003YM02_1S2RNA 28","308","2"
"259","A_M1003YM02_1S2RNA 29","308","1"
"260","A_M1003YM02_1S2RNA 3","111","2"
"261","A_M1003YM02_1S2RNA 30","309","2"
"262","A_M1003YM02_1S2RNA 31","311","1"
"263","A_M1003YM02_1S2RNA 32","311","1"
"264","A_M1003YM02_1S2RNA 33","311","1"
"265","A_M1003YM02_1S2RNA 34","311","1"
"266","A_M1003YM02_1S2RNA 35","311","1"
"267","A_M1003YM02_1S2RNA 36","311","2"
"268","A_M1003YM02_1S2RNA 37","311","2"
"269","A_M1003YM02_1S2RNA 38","311","2"
"270","A_M1003YM02_1S2RNA 39","311","2"
"271","A_M1003YM02_1S2RNA 4","103","2"
"272","A_M1003YM02_1S2RNA 40","311","2"
"273","A_M1003YM02_1S2RNA 5","102","2"
"274","A_M1003YM02_1S2RNA 6","105","2"
"275","A_M1003YM02_1S2RNA 7","105","2"
"276","A_M1003YM02_1S2RNA 8","104","2"
"277","A_M1003YM02_1S2RNA 9","106","1"
"278","A_M1003YM02_2S3RNA 1","111","1"
"279","A_M1003YM02_2S3RNA 10","106","1"
"280","A_M1003YM02_2S3RNA 11","106","1"
"281","A_M1003YM02_2S3RNA 12","202","1"
"282","A_M1003YM02_2S3RNA 13","203","1"
"283","A_M1003YM02_2S3RNA 14","203","1"
"284","A_M1003YM02_2S3RNA 15","203","1"
"285","A_M1003YM02_2S3RNA 16","203","1"
"286","A_M1003YM02_2S3RNA 17","205","1"
"287","A_M1003YM02_2S3RNA 18","205","1"
"288","A_M1003YM02_2S3RNA 19","205","1"
"289","A_M1003YM02_2S3RNA 2","111","1"
"290","A_M1003YM02_2S3RNA 20","206","2"
"291","A_M1003YM02_2S3RNA 21","301","2"
"292","A_M1003YM02_2S3RNA 22","304","2"
"293","A_M1003YM02_2S3RNA 23","304","2"
"294","A_M1003YM02_2S3RNA 24","304","2"
"295","A_M1003YM02_2S3RNA 25","304","2"
"296","A_M1003YM02_2S3RNA 26","306","2"
"297","A_M1003YM02_2S3RNA 27","306","1"
"298","A_M1003YM02_2S3RNA 28","306","1"
"299","A_M1003YM02_2S3RNA 29","307","1"
"300","A_M1003YM02_2S3RNA 3","111","2"
"301","A_M1003YM02_2S3RNA 30","311","2"
"302","A_M1003YM02_2S3RNA 31","311","1"
"303","A_M1003YM02_2S3RNA 32","311","1"
"304","A_M1003YM02_2S3RNA 33","311","1"
"305","A_M1003YM02_2S3RNA 34","311","1"
"306","A_M1003YM02_2S3RNA 35","311","1"
"307","A_M1003YM02_2S3RNA 36","311","2"
"308","A_M1003YM02_2S3RNA 37","311","2"
"309","A_M1003YM02_2S3RNA 38","311","2"
"310","A_M1003YM02_2S3RNA 39","311","2"
"311","A_M1003YM02_2S3RNA 4","102","2"
"312","A_M1003YM02_2S3RNA 5","102","2"
"313","A_M1003YM02_2S3RNA 6","102","2"
"314","A_M1003YM02_2S3RNA 7","103","2"
"315","A_M1003YM02_2S3RNA 8","103","2"
"316","A_M1003YM02_2S3RNA 9","104","2"
"317","A_M1003YM02_3S1RNA 1","102","1"
"318","A_M1003YM02_3S1RNA 10","202","1"
"319","A_M1003YM02_3S1RNA 11","203","1"
"320","A_M1003YM02_3S1RNA 12","203","1"
"321","A_M1003YM02_3S1RNA 13","203","1"
"322","A_M1003YM02_3S1RNA 14","204","1"
"323","A_M1003YM02_3S1RNA 15","205","1"
"324","A_M1003YM02_3S1RNA 16","205","1"
"325","A_M1003YM02_3S1RNA 17","205","1"
"326","A_M1003YM02_3S1RNA 18","301","2"
"327","A_M1003YM02_3S1RNA 19","304","2"
"328","A_M1003YM02_3S1RNA 2","102","2"
"329","A_M1003YM02_3S1RNA 20","304","2"
"330","A_M1003YM02_3S1RNA 21","304","2"
"331","A_M1003YM02_3S1RNA 22","304","2"
"332","A_M1003YM02_3S1RNA 23","306","2"
"333","A_M1003YM02_3S1RNA 24","306","2"
"334","A_M1003YM02_3S1RNA 25","306","1"
"335","A_M1003YM02_3S1RNA 26","308","1"
"336","A_M1003YM02_3S1RNA 27","308","1"
"337","A_M1003YM02_3S1RNA 28","311","2"
"338","A_M1003YM02_3S1RNA 29","311","2"
"339","A_M1003YM02_3S1RNA 3","103","1"
"340","A_M1003YM02_3S1RNA 30","311","1"
"341","A_M1003YM02_3S1RNA 31","311","1"
"342","A_M1003YM02_3S1RNA 32","311","1"
"343","A_M1003YM02_3S1RNA 33","311","1"
"344","A_M1003YM02_3S1RNA 34","311","2"
"345","A_M1003YM02_3S1RNA 35","311","2"
"346","A_M1003YM02_3S1RNA 36","311","2"
"347","A_M1003YM02_3S1RNA 37","311","2"
"348","A_M1003YM02_3S1RNA 4","103","2"
"349","A_M1003YM02_3S1RNA 5","104","2"
"350","A_M1003YM02_3S1RNA 6","104","2"
"351","A_M1003YM02_3S1RNA 7","106","2"
"352","A_M1003YM02_3S1RNA 8","106","2"
"353","A_M1003YM02_3S1RNA 9","106","2"
"354","A_M1004YM02_1S2RNA 1","111","1"
"355","A_M1004YM02_1S2RNA 10","106","1"
"356","A_M1004YM02_1S2RNA 11","202","1"
"357","A_M1004YM02_1S2RNA 12","203","1"
"358","A_M1004YM02_1S2RNA 13","203","1"
"359","A_M1004YM02_1S2RNA 14","203","1"
"360","A_M1004YM02_1S2RNA 15","203","1"
"361","A_M1004YM02_1S2RNA 16","205","1"
"362","A_M1004YM02_1S2RNA 17","205","1"
"363","A_M1004YM02_1S2RNA 18","205","1"
"364","A_M1004YM02_1S2RNA 19","205","1"
"365","A_M1004YM02_1S2RNA 2","111","2"
"366","A_M1004YM02_1S2RNA 20","206","2"
"367","A_M1004YM02_1S2RNA 21","303","2"
"368","A_M1004YM02_1S2RNA 22","304","2"
"369","A_M1004YM02_1S2RNA 23","304","2"
"370","A_M1004YM02_1S2RNA 24","304","2"
"371","A_M1004YM02_1S2RNA 25","304","2"
"372","A_M1004YM02_1S2RNA 26","306","2"
"373","A_M1004YM02_1S2RNA 27","306","1"
"374","A_M1004YM02_1S2RNA 28","306","2"
"375","A_M1004YM02_1S2RNA 29","308","1"
"376","A_M1004YM02_1S2RNA 3","111","1"
"377","A_M1004YM02_1S2RNA 30","308","2"
"378","A_M1004YM02_1S2RNA 31","309","1"
"379","A_M1004YM02_1S2RNA 32","311","1"
"380","A_M1004YM02_1S2RNA 33","311","1"
"381","A_M1004YM02_1S2RNA 34","311","1"
"382","A_M1004YM02_1S2RNA 35","311","1"
"383","A_M1004YM02_1S2RNA 36","311","1"
"384","A_M1004YM02_1S2RNA 37","311","1"
"385","A_M1004YM02_1S2RNA 38","311","2"
"386","A_M1004YM02_1S2RNA 39","311","2"
"387","A_M1004YM02_1S2RNA 4","103","2"
"388","A_M1004YM02_1S2RNA 40","311","2"
"389","A_M1004YM02_1S2RNA 41","311","2"
"390","A_M1004YM02_1S2RNA 5","102","2"
"391","A_M1004YM02_1S2RNA 6","105","2"
"392","A_M1004YM02_1S2RNA 7","105","2"
"393","A_M1004YM02_1S2RNA 8","106","2"
"394","A_M1004YM02_1S2RNA 9","106","1"
"395","A_M1004YM02_2S3RNA 1","111","1"
"396","A_M1004YM02_2S3RNA 10","106","1"
"397","A_M1004YM02_2S3RNA 11","106","1"
"398","A_M1004YM02_2S3RNA 12","202","1"
"399","A_M1004YM02_2S3RNA 13","203","1"
"400","A_M1004YM02_2S3RNA 14","203","1"
"401","A_M1004YM02_2S3RNA 15","203","1"
"402","A_M1004YM02_2S3RNA 16","203","1"
"403","A_M1004YM02_2S3RNA 17","204","1"
"404","A_M1004YM02_2S3RNA 18","205","1"
"405","A_M1004YM02_2S3RNA 19","205","1"
"406","A_M1004YM02_2S3RNA 2","111","1"
"407","A_M1004YM02_2S3RNA 20","205","2"
"408","A_M1004YM02_2S3RNA 21","301","2"
"409","A_M1004YM02_2S3RNA 22","304","2"
"410","A_M1004YM02_2S3RNA 23","304","2"
"411","A_M1004YM02_2S3RNA 24","304","2"
"412","A_M1004YM02_2S3RNA 25","304","2"
"413","A_M1004YM02_2S3RNA 26","306","2"
"414","A_M1004YM02_2S3RNA 27","306","2"
"415","A_M1004YM02_2S3RNA 28","306","1"
"416","A_M1004YM02_2S3RNA 29","307","1"
"417","A_M1004YM02_2S3RNA 3","111","1"
"418","A_M1004YM02_2S3RNA 30","311","2"
"419","A_M1004YM02_2S3RNA 31","311","1"
"420","A_M1004YM02_2S3RNA 32","311","1"
"421","A_M1004YM02_2S3RNA 33","311","1"
"422","A_M1004YM02_2S3RNA 34","311","1"
"423","A_M1004YM02_2S3RNA 35","311","1"
"424","A_M1004YM02_2S3RNA 36","311","2"
"425","A_M1004YM02_2S3RNA 37","311","2"
"426","A_M1004YM02_2S3RNA 38","311","2"
"427","A_M1004YM02_2S3RNA 39","311","2"
"428","A_M1004YM02_2S3RNA 4","102","2"
"429","A_M1004YM02_2S3RNA 5","102","2"
"430","A_M1004YM02_2S3RNA 6","102","2"
"431","A_M1004YM02_2S3RNA 7","103","2"
"432","A_M1004YM02_2S3RNA 8","103","2"
"433","A_M1004YM02_2S3RNA 9","104","2"
"434","A_M1004YM02_3S1RNA 1","102","1"
"435","A_M1004YM02_3S1RNA 10","203","1"
"436","A_M1004YM02_3S1RNA 11","203","1"
"437","A_M1004YM02_3S1RNA 12","203","1"
"438","A_M1004YM02_3S1RNA 13","203","1"
"439","A_M1004YM02_3S1RNA 14","205","1"
"440","A_M1004YM02_3S1RNA 15","205","1"
"441","A_M1004YM02_3S1RNA 16","205","1"
"442","A_M1004YM02_3S1RNA 17","206","1"
"443","A_M1004YM02_3S1RNA 18","302","2"
"444","A_M1004YM02_3S1RNA 19","304","2"
"445","A_M1004YM02_3S1RNA 2","102","2"
"446","A_M1004YM02_3S1RNA 20","304","2"
"447","A_M1004YM02_3S1RNA 21","304","2"
"448","A_M1004YM02_3S1RNA 22","305","2"
"449","A_M1004YM02_3S1RNA 23","306","2"
"450","A_M1004YM02_3S1RNA 24","306","1"
"451","A_M1004YM02_3S1RNA 25","308","1"
"452","A_M1004YM02_3S1RNA 26","308","1"
"453","A_M1004YM02_3S1RNA 27","311","1"
"454","A_M1004YM02_3S1RNA 28","311","2"
"455","A_M1004YM02_3S1RNA 29","311","2"
"456","A_M1004YM02_3S1RNA 3","103","1"
"457","A_M1004YM02_3S1RNA 30","311","1"
"458","A_M1004YM02_3S1RNA 31","311","1"
"459","A_M1004YM02_3S1RNA 32","311","2"
"460","A_M1004YM02_3S1RNA 33","311","2"
"461","A_M1004YM02_3S1RNA 34","311","2"
"462","A_M1004YM02_3S1RNA 35","311","2"
"463","A_M1004YM02_3S1RNA 36","311","2"
"464","A_M1004YM02_3S1RNA 4","103","2"
"465","A_M1004YM02_3S1RNA 5","104","2"
"466","A_M1004YM02_3S1RNA 6","105","2"
"467","A_M1004YM02_3S1RNA 7","106","2"
"468","A_M1004YM02_3S1RNA 8","106","2"
"469","A_M1004YM02_3S1RNA 9","201","2"
"470","A_M1005YM03_1S3RNA 1","111","1"
"471","A_M1005YM03_1S3RNA 10","201","1"
"472","A_M1005YM03_1S3RNA 11","203","1"
"473","A_M1005YM03_1S3RNA 12","203","1"
"474","A_M1005YM03_1S3RNA 13","203","1"
"475","A_M1005YM03_1S3RNA 14","203","1"
"476","A_M1005YM03_1S3RNA 15","205","1"
"477","A_M1005YM03_1S3RNA 16","205","1"
"478","A_M1005YM03_1S3RNA 17","205","1"
"479","A_M1005YM03_1S3RNA 18","206","1"
"480","A_M1005YM03_1S3RNA 19","301","2"
"481","A_M1005YM03_1S3RNA 2","111","2"
"482","A_M1005YM03_1S3RNA 20","304","2"
"483","A_M1005YM03_1S3RNA 21","304","2"
"484","A_M1005YM03_1S3RNA 22","304","2"
"485","A_M1005YM03_1S3RNA 23","304","2"
"486","A_M1005YM03_1S3RNA 24","306","2"
"487","A_M1005YM03_1S3RNA 25","306","1"
"488","A_M1005YM03_1S3RNA 26","306","1"
"489","A_M1005YM03_1S3RNA 27","307","1"
"490","A_M1005YM03_1S3RNA 28","311","2"
"491","A_M1005YM03_1S3RNA 29","311","2"
"492","A_M1005YM03_1S3RNA 3","105","1"
"493","A_M1005YM03_1S3RNA 30","311","1"
"494","A_M1005YM03_1S3RNA 31","311","1"
"495","A_M1005YM03_1S3RNA 32","311","1"
"496","A_M1005YM03_1S3RNA 33","311","2"
"497","A_M1005YM03_1S3RNA 34","311","2"
"498","A_M1005YM03_1S3RNA 35","311","2"
"499","A_M1005YM03_1S3RNA 36","311","2"
"500","A_M1005YM03_1S3RNA 37","311","2"
"501","A_M1005YM03_1S3RNA 4","102","2"
"502","A_M1005YM03_1S3RNA 5","102","2"
"503","A_M1005YM03_1S3RNA 6","103","2"
"504","A_M1005YM03_1S3RNA 7","103","2"
"505","A_M1005YM03_1S3RNA 8","106","2"
"506","A_M1005YM03_1S3RNA 9","106","2"
"507","A_M1005YM03_2S2RNA 1","111","1"
"508","A_M1005YM03_2S2RNA 10","202","1"
"509","A_M1005YM03_2S2RNA 11","203","1"
"510","A_M1005YM03_2S2RNA 12","203","1"
"511","A_M1005YM03_2S2RNA 13","203","1"
"512","A_M1005YM03_2S2RNA 14","203","1"
"513","A_M1005YM03_2S2RNA 15","205","1"
"514","A_M1005YM03_2S2RNA 16","205","1"
"515","A_M1005YM03_2S2RNA 17","205","1"
"516","A_M1005YM03_2S2RNA 18","206","2"
"517","A_M1005YM03_2S2RNA 19","302","2"
"518","A_M1005YM03_2S2RNA 2","111","2"
"519","A_M1005YM03_2S2RNA 20","304","2"
"520","A_M1005YM03_2S2RNA 21","304","2"
"521","A_M1005YM03_2S2RNA 22","304","2"
"522","A_M1005YM03_2S2RNA 23","305","2"
"523","A_M1005YM03_2S2RNA 24","306","2"
"524","A_M1005YM03_2S2RNA 25","306","1"
"525","A_M1005YM03_2S2RNA 26","306","1"
"526","A_M1005YM03_2S2RNA 27","308","1"
"527","A_M1005YM03_2S2RNA 28","308","1"
"528","A_M1005YM03_2S2RNA 29","311","2"
"529","A_M1005YM03_2S2RNA 3","111","1"
"530","A_M1005YM03_2S2RNA 30","311","1"
"531","A_M1005YM03_2S2RNA 31","311","1"
"532","A_M1005YM03_2S2RNA 32","311","1"
"533","A_M1005YM03_2S2RNA 33","311","1"
"534","A_M1005YM03_2S2RNA 34","311","1"
"535","A_M1005YM03_2S2RNA 35","311","2"
"536","A_M1005YM03_2S2RNA 36","311","2"
"537","A_M1005YM03_2S2RNA 37","311","2"
